DayOfYear,MinuteOfDay,Duration
348,714,0.14
348,714,0.07
348,714,0.02
348,715,0.2
348,715,0.07
348,715,0.07
348,716,0.04
348,716,0.04
348,716,0.14
348,717,0.12
348,717,0.16
348,722,0.12
348,722,0.16
348,862,0.01
348,862,0.12
348,862,0.06
348,862,0.09
348,863,0.1
348,864,0.2
348,874,0.06
348,875,0.03
348,875,0.1
348,886,0.13
348,917,0.2
348,922,0.71
348,924,0.14
348,1024,0.12
348,1025,0.2
348,1125,0.14
348,1125,0.12
348,1125,0.21
348,1142,0.34
348,1142,0.04
348,1189,0.12
348,1200,0.12
348,1200,0.12
348,1200,0.12
348,1200,0.12
348,1202,0.04
348,1202,0.27
348,1202,0.22
348,1203,0.06
348,1203,0.19
348,1203,0.17
348,1203,0.05
348,1203,0.01
348,1203,0.14
348,1203,0.01
348,1204,0.02
348,1204,0.08
348,1204,0.2
348,1204,0.2
348,1213,0.16
348,1246,0.23
348,1252,0.12
348,1252,0.04
348,1421,0.24
349,88,0.12
349,610,0.15
349,610,0.02
349,851,0.17
349,851,0.21
349,852,0.19
349,1300,0.05
349,1300,0.14
349,1308,0.32
349,1309,0.12
349,1366,0.39
349,1366,0.02
349,1375,0.0
349,1376,0.04
349,1376,0.03
349,1376,0.1
349,1377,0.05
349,1378,0.07
349,1378,0.1
349,1379,0.24
349,1379,0.02
349,1379,0.04
349,1382,0.14
349,1382,0.36
349,1383,0.03
349,1386,0.2
349,1386,0.19
349,1386,0.14
349,1397,0.21
349,1397,0.01
349,1422,0.05
349,1423,0.14
349,1423,0.16
349,1423,0.04
349,1424,0.36
349,1424,0.19
349,1424,0.03
349,1424,0.02
349,1425,0.15
349,1425,0.06
349,1425,0.18
349,1425,0.07
349,1426,0.3
349,1426,0.08
349,1426,0.01
349,1428,0.4
349,1434,0.12
349,1434,0.17
349,1437,0.18
349,1437,0.13
349,1437,0.06
349,1437,0.06
349,1438,0.07
349,1438,0.04
349,1438,0.08
349,1439,0.12
349,1439,0.02
350,0,0.34
350,0,0.12
350,0,0.14
350,1,0.17
350,1,0.06
350,5,0.01
350,5,0.09
350,21,0.23
350,21,0.02
350,22,0.15
350,22,0.17
350,31,0.16
350,31,0.04
350,40,0.0
350,40,0.09
350,64,0.1
350,64,0.01
350,64,0.07
350,68,0.08
350,68,0.1
350,70,0.13
350,96,0.11
350,112,0.24
350,113,0.12
350,113,0.25
350,113,0.17
350,296,0.12
350,765,0.23
350,775,0.12
350,781,0.12
350,868,0.1
350,868,0.12
350,886,0.12
350,1346,0.12
351,5,0.12
351,22,0.23
351,22,0.12
351,25,0.13
352,568,0.07
352,625,0.45
352,627,0.12
352,627,0.12
352,630,0.13
352,630,0.12
352,1200,0.39
352,1200,0.12
352,1200,0.12
352,1201,0.12
352,1201,0.12
352,1224,0.12
352,1224,0.21
352,1224,0.12
352,1224,0.12
352,1228,0.06
352,1228,0.12
352,1241,0.12
352,1241,0.12
352,1246,0.12
352,1275,0.12
352,1275,0.25
352,1335,0.46
352,1336,0.04
352,1339,0.14
352,1385,0.08
352,1385,0.12
352,1397,0.12
352,1409,0.3
352,1409,0.12
352,1411,0.22
352,1411,0.04
352,1411,0.08
352,1411,0.12
352,1415,0.16
352,1415,0.01
352,1417,0.15
352,1418,0.17
352,1418,0.06
352,1418,0.05
352,1419,0.07
352,1420,0.14
352,1426,0.16
352,1428,0.15
353,574,0.21
353,575,0.06
353,576,0.1
353,581,0.24
353,651,0.02
353,654,0.02
353,655,0.14
353,669,0.18
353,672,0.12
353,719,0.19
353,719,0.07
353,723,0.16
353,1318,0.24
354,869,0.2
354,871,0.12
354,872,0.12
354,878,0.21
354,879,0.14
354,879,0.25
354,879,0.12
354,881,0.14
354,881,0.06
354,1171,0.16
354,1171,0.04
354,1317,0.12
354,1319,0.08
355,192,0.31
355,195,0.12
355,915,0.12
355,930,0.14
355,930,0.21
355,930,0.12
355,930,0.16
355,930,0.14
355,936,0.12
355,942,0.12
355,949,0.12
355,949,0.12
355,950,0.12
355,950,0.12
355,959,0.12
355,959,0.12
355,978,0.12
355,1049,0.12
355,1055,0.12
355,1064,0.12
355,1071,0.12
355,1082,0.1
355,1082,0.12
355,1262,0.12
355,1262,0.12
355,1263,0.12
355,1263,0.12
355,1263,0.2
355,1334,0.5
355,1334,0.12
355,1376,0.16
355,1433,0.14
355,1435,0.12
355,1436,0.12
356,16,0.12
356,42,0.12
356,42,0.14
356,44,0.18
356,894,0.36
356,1039,0.2
356,1040,0.12
356,1136,0.12
356,1136,0.12
356,1207,0.04
357,75,0.16
357,267,0.12
357,273,0.14
357,274,0.12
357,275,0.12
357,275,0.14
357,278,0.12
357,287,0.16
357,287,0.12
357,287,0.12
357,288,0.12
357,289,0.12
357,289,0.12
357,289,0.12
357,289,0.12
357,289,0.12
357,295,0.14
357,295,0.12
357,295,0.12
357,296,0.12
357,308,0.08
357,308,0.12
357,320,0.12
357,854,0.46
357,856,0.12
357,858,0.12
357,871,0.12
357,871,0.12
357,955,0.12
357,955,0.12
357,958,0.1
357,959,0.12
357,961,0.12
